Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
2012Q1,S08000022,S08000031,,Upper GI,,260,,265,
2012Q1,S08000022,S08000031,,Urological,,538,,527,
2012Q1,S08000022,S08000031,,All Cancer Types,d,81,,97,
2012Q1,S08000022,S92000003,d,Breast,,478,,476,
2012Q1,S08000022,S92000003,d,Cervical,,260,,265,
2012Q1,S08000022,S92000003,d,Colorectal,,337,,323,
2012Q1,S08000022,S92000003,d,Head & Neck,,53,,38,
2012Q1,S08000022,S92000003,d,Lung,,405,,408,
2012Q1,S08000022,S92000003,d,Lymphoma,,81,,97,
2012Q1,S08000022,S92000003,d,Melanoma,,81,,97,
2012Q1,S08000022,S92000003,d,Ovarian,,423,,424,
2012Q1,S08000022,S92000003,d,Upper GI,,330,,329,
2012Q1,S08000022,S92000003,d,Urological,,461,,441,
2012Q1,S08000022,S92000003,d,All Cancer Types,d,249,,247,
2012Q1,S08000022,SB0801,,Lung,,1,,2,
2012Q1,S08000022,SB0801,,All Cancer Types,d,1,,2,
2012Q1,S08000024,S08000016,,Breast,,352,,353,
2012Q1,S08000024,S08000016,,All Cancer Types,d,352,,353,
2012Q1,S08000024,S08000019,,Breast,,1,,2,
2012Q1,S08000024,S08000019,,All Cancer Types,d,1,,2,
2012Q1,S08000024,S08000024,,Breast,,168,,169,
2012Q1,S08000024,S08000024,,Cervical,,483,,479,
2012Q1,S08000024,S08000024,,Colorectal,,52,,49,
2012Q1,S08000024,S08000024,,Head & Neck,,359,,357,
2012Q1,S08000024,S08000024,,Lung,,131,,135,
2012Q1,S08000024,S08000024,,Lymphoma,,300,,307,
2012Q1,S08000024,S08000024,,Melanoma,,424,,425,
2012Q1,S08000024,S08000024,,Ovarian,,167,,150,
2012Q1,S08000024,S08000024,,Upper GI,,431,,433,
2012Q1,S08000024,S08000024,,Urological,,154,,153,
2012Q1,S08000024,S08000024,,All Cancer Types,d,576,,567,
2012Q1,S08000024,S08000029,,Breast,,260,,265,
2012Q1,S08000024,S08000029,,All Cancer Types,d,260,,265,
2012Q1,S08000024,S08000030,,Urological,,1,,2,
2012Q1,S08000024,S08000030,,All Cancer Types,d,1,,2,
2012Q1,S08000024,S92000003,d,Breast,,176,,177,
2012Q1,S08000024,S92000003,d,Cervical,,483,,479,
2012Q1,S08000024,S92000003,d,Colorectal,,52,,49,
2012Q1,S08000024,S92000003,d,Head & Neck,,359,,357,
2012Q1,S08000024,S92000003,d,Lung,,131,,135,
2012Q1,S08000024,S92000003,d,Lymphoma,,300,,307,
2012Q1,S08000024,S92000003,d,Melanoma,,424,,425,
2012Q1,S08000024,S92000003,d,Ovarian,,167,,150,
2012Q1,S08000024,S92000003,d,Upper GI,,431,,433,
2012Q1,S08000024,S92000003,d,Urological,,155,,154,
2012Q1,S08000024,S92000003,d,All Cancer Types,d,578,,569,
2012Q1,S08000025,S08000020,,Breast,,1,,2,
2012Q1,S08000025,S08000020,,Colorectal,,157,,158,
2012Q1,S08000025,S08000020,,Head & Neck,,1,,2,
2012Q1,S08000025,S08000020,,Upper GI,,157,,158,
2012Q1,S08000025,S08000020,,Urological,,1,,2,
2012Q1,S08000025,S08000020,,All Cancer Types,d,511,,504,
2012Q1,S08000025,S08000025,,Colorectal,,157,,158,
2012Q1,S08000025,S08000025,,Urological,,1,,2,
2012Q1,S08000025,S08000025,,All Cancer Types,d,260,,265,
2012Q1,S08000025,S92000003,d,Breast,,1,,2,
2012Q1,S08000025,S92000003,d,Colorectal,,352,,353,
2012Q1,S08000025,S92000003,d,Head & Neck,,1,,2,
2012Q1,S08000025,S92000003,d,Upper GI,,157,,158,
2012Q1,S08000025,S92000003,d,Urological,,157,,158,
2012Q1,S08000025,S92000003,d,All Cancer Types,d,2,,3,
2012Q1,S08000026,S08000020,,Breast,,1,,2,
2012Q1,S08000026,S08000020,,Colorectal,,157,,158,
2012Q1,S08000026,S08000020,,Head & Neck,,1,,2,
2012Q1,S08000026,S08000020,,Lung,,157,,158,
2012Q1,S08000026,S08000020,,Lymphoma,,157,,158,
2012Q1,S08000026,S08000020,,Upper GI,,1,,2,
2012Q1,S08000026,S08000020,,Urological,,157,,158,
2012Q1,S08000026,S08000020,,All Cancer Types,d,13,,14,
2012Q1,S08000026,S08000026,,Breast,,1,,2,
2012Q1,S08000026,S08000026,,Colorectal,,423,,424,
2012Q1,S08000026,S08000026,,Lung,,260,,265,
2012Q1,S08000026,S08000026,,Lymphoma,,1,,2,
2012Q1,S08000026,S08000026,,Melanoma,,1,,2,
2012Q1,S08000026,S08000026,,Upper GI,,1,,2,
2012Q1,S08000026,S08000026,,Urological,,511,,504,
2012Q1,S08000026,S08000026,,All Cancer Types,d,148,,150,
2012Q1,S08000026,S92000003,d,Breast,,157,,158,
2012Q1,S08000026,S92000003,d,Colorectal,,511,,504,
2012Q1,S08000026,S92000003,d,Head & Neck,,1,,2,
2012Q1,S08000026,S92000003,d,Lung,,423,,424,
2012Q1,S08000026,S92000003,d,Lymphoma,,260,,265,
2012Q1,S08000026,S92000003,d,Melanoma,,1,,2,
2012Q1,S08000026,S92000003,d,Upper GI,,157,,158,
2012Q1,S08000026,S92000003,d,Urological,,572,,562,
2012Q1,S08000026,S92000003,d,All Cancer Types,d,261,,266,
2012Q1,S08000028,S08000022,,Colorectal,,157,,158,
2012Q1,S08000028,S08000022,,Head & Neck,,1,,2,
2012Q1,S08000028,S08000022,,Upper GI,,1,,2,
2012Q1,S08000028,S08000022,,Urological,,1,,2,
2012Q1,S08000028,S08000022,,All Cancer Types,d,423,,424,
2012Q1,S08000028,S08000028,,Colorectal,,423,,424,
2012Q1,S08000028,S08000028,,Head & Neck,,260,,265,
2012Q1,S08000028,S08000028,,Lung,,423,,424,
2012Q1,S08000028,S08000028,,Melanoma,,1,,2,
2012Q1,S08000028,S08000028,,Upper GI,,157,,158,
2012Q1,S08000028,S08000028,,Urological,,157,,158,
2012Q1,S08000028,S08000028,,All Cancer Types,d,137,,140,
2012Q1,S08000028,S92000003,d,Colorectal,,511,,504,
2012Q1,S08000028,S92000003,d,Head & Neck,,352,,353,
2012Q1,S08000028,S92000003,d,Lung,,511,,504,
2012Q1,S08000028,S92000003,d,Melanoma,,1,,2,
2012Q1,S08000028,S92000003,d,Upper GI,,352,,353,
2012Q1,S08000028,S92000003,d,Urological,,260,,265,
2012Q1,S08000028,S92000003,d,All Cancer Types,d,218,,221,
2012Q1,S08000028,SB0801,,Lung,,157,,158,
2012Q1,S08000028,SB0801,,Upper GI,,1,,2,
2012Q1,S08000028,SB0801,,All Cancer Types,d,260,,265,
2012Q1,S08000029,S08000024,,Breast,,157,,158,
2012Q1,S08000029,S08000024,,Cervical,,157,,158,
2012Q1,S08000029,S08000024,,Colorectal,,352,,353,
2012Q1,S08000029,S08000024,,Head & Neck,,158,,150,
2012Q1,S08000029,S08000024,,Lung,,188,,179,
2012Q1,S08000029,S08000024,,Lymphoma,,260,,265,
2012Q1,S08000029,S08000024,,Ovarian,,157,,158,
2012Q1,S08000029,S08000024,,Upper GI,,511,,504,
2012Q1,S08000029,S08000024,,Urological,,511,,479,
2012Q1,S08000029,S08000024,,All Cancer Types,d,512,,497,
2012Q1,S08000029,S08000029,,Breast,,376,,369,
2012Q1,S08000029,S08000029,,Cervical,,1,,2,
2012Q1,S08000029,S08000029,,Colorectal,,370,,365,
2012Q1,S08000029,S08000029,,Head & Neck,,352,,353,
2012Q1,S08000029,S08000029,,Lung,,440,,441,
2012Q1,S08000029,S08000029,,Lymphoma,,2,,3,
2012Q1,S08000029,S08000029,,Melanoma,,572,,562,
2012Q1,S08000029,S08000029,,Ovarian,,352,,265,
2012Q1,S08000029,S08000029,,Upper GI,,188,,190,
2012Q1,S08000029,S08000029,,Urological,,583,,565,
2012Q1,S08000029,S08000029,,All Cancer Types,d,243,,241,
2012Q1,S08000029,S08000030,,Lung,,352,,265,
2012Q1,S08000029,S08000030,,Upper GI,,1,,2,
2012Q1,S08000029,S08000030,,Urological,,157,,158,
2012Q1,S08000029,S08000030,,All Cancer Types,d,511,,479,
2012Q1,S08000029,S92000003,d,Breast,,388,,382,
2012Q1,S08000029,S92000003,d,Cervical,,260,,265,
2012Q1,S08000029,S92000003,d,Colorectal,,394,,389,
2012Q1,S08000029,S92000003,d,Head & Neck,,198,,190,
2012Q1,S08000029,S92000003,d,Lung,,536,,521,
2012Q1,S08000029,S92000003,d,Lymphoma,,35,,38,
2012Q1,S08000029,S92000003,d,Melanoma,,572,,562,
2012Q1,S08000029,S92000003,d,Ovarian,,483,,424,
2012Q1,S08000029,S92000003,d,Upper GI,,272,,277,
2012Q1,S08000029,S92000003,d,Urological,,7,,581,
2012Q1,S08000029,S92000003,d,All Cancer Types,d,322,,316,
2012Q1,S08000030,S08000020,,Lung,,1,,2,
2012Q1,S08000030,S08000020,,All Cancer Types,d,1,,2,
2012Q1,S08000030,S08000024,,Lung,,483,,479,
2012Q1,S08000030,S08000024,,All Cancer Types,d,483,,479,
2012Q1,S08000030,S08000030,,Breast,,9,,10,
2012Q1,S08000030,S08000030,,Cervical,,352,,353,
2012Q1,S08000030,S08000030,,Colorectal,,531,,516,
2012Q1,S08000030,S08000030,,Head & Neck,,167,,168,
2012Q1,S08000030,S08000030,,Lung,,431,,433,
2012Q1,S08000030,S08000030,,Lymphoma,,218,,221,
2012Q1,S08000030,S08000030,,Melanoma,,272,,266,
2012Q1,S08000030,S08000030,,Ovarian,,24,,25,
2012Q1,S08000030,S08000030,,Upper GI,,370,,365,
2012Q1,S08000030,S08000030,,Urological,,583,,560,
2012Q1,S08000030,S08000030,,All Cancer Types,d,398,,387,
2012Q1,S08000030,S92000003,d,Breast,,9,,10,
2012Q1,S08000030,S92000003,d,Cervical,,352,,353,
2012Q1,S08000030,S92000003,d,Colorectal,,531,,516,
2012Q1,S08000030,S92000003,d,Head & Neck,,167,,168,
2012Q1,S08000030,S92000003,d,Lung,,474,,474,
2012Q1,S08000030,S92000003,d,Lymphoma,,218,,221,
2012Q1,S08000030,S92000003,d,Melanoma,,272,,266,
2012Q1,S08000030,S92000003,d,Ovarian,,24,,25,
2012Q1,S08000030,S92000003,d,Upper GI,,370,,365,
2012Q1,S08000030,S92000003,d,Urological,,583,,560,
2012Q1,S08000030,S92000003,d,All Cancer Types,d,402,,392,
2012Q1,S08000031,S08000022,,Colorectal,,157,,158,
2012Q1,S08000031,S08000022,,All Cancer Types,d,157,,158,
2012Q1,S08000031,S08000024,,Upper GI,,1,,2,
2012Q1,S08000031,S08000024,,Urological,,1,,2,
2012Q1,S08000031,S08000024,,All Cancer Types,d,157,,158,
2012Q1,S08000031,S08000031,,Breast,,241,,244,
2012Q1,S08000031,S08000031,,Cervical,,13,,14,
2012Q1,S08000031,S08000031,,Colorectal,,140,,132,
2012Q1,S08000031,S08000031,,Head & Neck,,520,,501,
2012Q1,S08000031,S08000031,,Lung,,178,,174,
2012Q1,S08000031,S08000031,,Lymphoma,,376,,369,
2012Q1,S08000031,S08000031,,Melanoma,,524,,516,
2012Q1,S08000031,S08000031,,Ovarian,,105,,114,
2012Q1,S08000031,S08000031,,Upper GI,,119,,124,
2012Q1,S08000031,S08000031,,Urological,,219,,213,
2012Q1,S08000031,S08000031,,All Cancer Types,d,41,,37,
2012Q1,S08000031,S08000032,,Breast,,352,,353,
2012Q1,S08000031,S08000032,,All Cancer Types,d,352,,353,
2012Q1,S08000031,S92000003,d,Breast,,245,,248,
2012Q1,S08000031,S92000003,d,Cervical,,13,,14,
2012Q1,S08000031,S92000003,d,Colorectal,,142,,134,
2012Q1,S08000031,S92000003,d,Head & Neck,,520,,501,
2012Q1,S08000031,S92000003,d,Lung,,223,,222,
2012Q1,S08000031,S92000003,d,Lymphoma,,376,,369,
2012Q1,S08000031,S92000003,d,Melanoma,,524,,516,
2012Q1,S08000031,S92000003,d,Ovarian,,105,,114,
2012Q1,S08000031,S92000003,d,Upper GI,,120,,125,
2012Q1,S08000031,S92000003,d,Urological,,220,,214,
2012Q1,S08000031,S92000003,d,All Cancer Types,d,51,,52,
2012Q1,S08000031,SB0801,,Lung,,388,,382,
2012Q1,S08000031,SB0801,,All Cancer Types,d,388,,382,
2012Q1,S08000032,S08000031,,Breast,,157,,158,
2012Q1,S08000032,S08000031,,Cervical,,483,,479,
2012Q1,S08000032,S08000031,,Colorectal,,13,,3,
2012Q1,S08000032,S08000031,,Head & Neck,,483,,479,
2012Q1,S08000032,S08000031,,Lung,,337,,323,
2012Q1,S08000032,S08000031,,Lymphoma,,1,,1,
2012Q1,S08000032,S08000031,,Melanoma,,423,,424,
2012Q1,S08000032,S08000031,,Ovarian,,483,,479,
2012Q1,S08000032,S08000031,,Upper GI,,81,,97,
2012Q1,S08000032,S08000031,,Urological,,352,,353,
2012Q1,S08000032,S08000031,,All Cancer Types,d,579,,563,
2012Q1,S08000032,S08000032,,Breast,,509,,501,
2012Q1,S08000032,S08000032,,Cervical,,423,,424,
2012Q1,S08000032,S08000032,,Colorectal,,508,,498,
2012Q1,S08000032,S08000032,,Head & Neck,,35,,38,
2012Q1,S08000032,S08000032,,Lung,,489,,484,
2012Q1,S08000032,S08000032,,Lymphoma,,218,,221,
2012Q1,S08000032,S08000032,,Melanoma,,209,,210,
2012Q1,S08000032,S08000032,,Ovarian,,423,,424,
2012Q1,S08000032,S08000032,,Upper GI,,321,,323,
2012Q1,S08000032,S08000032,,Urological,,553,,534,
2012Q1,S08000032,S08000032,,All Cancer Types,d,348,,345,
2012Q1,S08000032,S92000003,d,Breast,,514,,506,
2012Q1,S08000032,S92000003,d,Cervical,,13,,14,
2012Q1,S08000032,S92000003,d,Colorectal,,536,,525,
2012Q1,S08000032,S92000003,d,Head & Neck,,148,,150,
2012Q1,S08000032,S92000003,d,Lung,,19,,18,
2012Q1,S08000032,S92000003,d,Lymphoma,,228,,221,
2012Q1,S08000032,S92000003,d,Melanoma,,261,,266,
2012Q1,S08000032,S92000003,d,Ovarian,,13,,14,
2012Q1,S08000032,S92000003,d,Upper GI,,431,,433,
2012Q1,S08000032,S92000003,d,Urological,,562,,548,
2012Q1,S08000032,S92000003,d,All Cancer Types,d,426,,422,
2012Q1,S08000032,SB0801,,Lung,,105,,114,
2012Q1,S08000032,SB0801,,All Cancer Types,d,105,,114,
2012Q2,S08000015,S08000015,,Breast,,589,,579,
2012Q2,S08000015,S08000015,,Cervical,,352,,353,
2012Q2,S08000015,S08000015,,Colorectal,,405,,389,
2012Q2,S08000015,S08000015,,Head & Neck,,105,,97,
2012Q2,S08000015,S08000015,,Lung,,415,,417,
2012Q2,S08000015,S08000015,,Lymphoma,,158,,159,
2012Q2,S08000015,S08000015,,Melanoma,,572,,562,
2012Q2,S08000015,S08000015,,Ovarian,,13,,14,
2012Q2,S08000015,S08000015,,Upper GI,,261,,266,
2012Q2,S08000015,S08000015,,Urological,,493,,486,
2012Q2,S08000015,S08000015,,All Cancer Types,d,306,,310,
2012Q2,S08000015,S08000024,,Upper GI,,157,,158,
2012Q2,S08000015,S08000024,,All Cancer Types,d,157,,158,
2012Q2,S08000015,S08000031,,Breast,,1,,1,
2012Q2,S08000015,S08000031,,Cervical,,260,,265,
2012Q2,S08000015,S08000031,,Colorectal,,511,,479,
2012Q2,S08000015,S08000031,,Head & Neck,,2,,3,
2012Q2,S08000015,S08000031,,Lung,,81,,97,
2012Q2,S08000015,S08000031,,Lymphoma,,1,,2,
2012Q2,S08000015,S08000031,,Melanoma,,260,,265,
2012Q2,S08000015,S08000031,,Ovarian,,1,,2,
2012Q2,S08000015,S08000031,,Upper GI,,121,,129,
2012Q2,S08000015,S08000031,,Urological,,1,,2,
2012Q2,S08000015,S08000031,,All Cancer Types,d,478,,470,
2012Q2,S08000015,S92000003,d,Breast,,592,,579,
2012Q2,S08000015,S92000003,d,Cervical,,511,,504,
2012Q2,S08000015,S92000003,d,Colorectal,,461,,441,
2012Q2,S08000015,S92000003,d,Head & Neck,,218,,210,
2012Q2,S08000015,S92000003,d,Lung,,509,,501,
2012Q2,S08000015,S92000003,d,Lymphoma,,167,,168,
2012Q2,S08000015,S92000003,d,Melanoma,,24,,25,
2012Q2,S08000015,S92000003,d,Ovarian,,24,,25,
2012Q2,S08000015,S92000003,d,Upper GI,,415,,417,
2012Q2,S08000015,S92000003,d,Urological,,496,,489,
2012Q2,S08000015,S92000003,d,All Cancer Types,d,362,,356,
2012Q2,S08000015,SB0801,,Lung,,423,,424,
