Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
2012Q1,S08000017,,SB0801,All Cancer Types,d,1,,2,
2012Q1,S08000019,,S08000019,Breast,,166,,121,
2012Q1,S08000019,,S08000019,Colorectal,,135,,110,
2012Q1,S08000019,,S08000019,Head & Neck,,113,,109,
2012Q1,S08000019,,S08000019,Lung,,156,,153,
2012Q1,S08000019,,S08000019,Lymphoma,,284,,279,
2012Q1,S08000019,,S08000019,Melanoma,,284,,279,
2012Q1,S08000019,,S08000019,Ovarian,,1,,2,
2012Q1,S08000019,,S08000019,Upper GI,,70,,67,
2012Q1,S08000019,,S08000019,Urological,,236,,204,
2012Q1,S08000019,,S08000019,All Cancer Types,d,44,,29,
2012Q1,S08000019,,S08000024,Lung,,1,,2,
2012Q1,S08000019,,S08000024,All Cancer Types,d,1,,2,
2012Q1,S08000019,,S08000031,Breast,,113,,109,
2012Q1,S08000019,,S08000031,Cervical,,1,,2,
2012Q1,S08000019,,S08000031,Colorectal,,1,,2,
2012Q1,S08000019,,S08000031,Head & Neck,,252,,203,
2012Q1,S08000019,,S08000031,Lung,,59,,45,
2012Q1,S08000019,,S08000031,Ovarian,,203,,203,
2012Q1,S08000019,,S08000031,Upper GI,,252,,240,
2012Q1,S08000019,,S08000031,All Cancer Types,d,204,,187,
2012Q1,S08000019,,SB0801,Lung,,203,,203,
2012Q1,S08000019,,SB0801,All Cancer Types,d,203,,203,
2012Q1,S08000020,,S08000020,Breast,,386,,384,
2012Q1,S08000020,,S08000020,Cervical,,252,,240,
2012Q1,S08000020,,S08000020,Colorectal,,265,,217,
2012Q1,S08000020,,S08000020,Head & Neck,,2,,388,
2012Q1,S08000020,,S08000020,Lung,,269,,246,
2012Q1,S08000020,,S08000020,Lymphoma,,284,,109,
2012Q1,S08000020,,S08000020,Melanoma,,396,,388,
2012Q1,S08000020,,S08000020,Ovarian,,396,,388,
2012Q1,S08000020,,S08000020,Upper GI,,185,,161,
2012Q1,S08000020,,S08000020,Urological,,257,,231,
2012Q1,S08000020,,S08000020,All Cancer Types,d,191,,166,
2012Q1,S08000022,,S08000020,Head & Neck,,1,,2,
2012Q1,S08000022,,S08000020,All Cancer Types,d,1,,2,
2012Q1,S08000022,,S08000022,Breast,,236,,231,
2012Q1,S08000022,,S08000022,Cervical,,203,,203,
2012Q1,S08000022,,S08000022,Colorectal,,204,,180,
2012Q1,S08000022,,S08000022,Head & Neck,,368,,331,
2012Q1,S08000022,,S08000022,Lung,,175,,161,
2012Q1,S08000022,,S08000022,Lymphoma,,284,,279,
2012Q1,S08000022,,S08000022,Melanoma,,368,,369,
2012Q1,S08000022,,S08000022,Ovarian,,113,,109,
2012Q1,S08000022,,S08000022,Upper GI,,102,,99,
2012Q1,S08000022,,S08000022,Urological,,70,,56,
2012Q1,S08000022,,S08000022,All Cancer Types,d,63,,53,
2012Q1,S08000022,,S08000024,Breast,,1,,2,
2012Q1,S08000022,,S08000024,Melanoma,,1,,2,
2012Q1,S08000022,,S08000024,All Cancer Types,d,113,,109,
2012Q1,S08000022,,S08000031,Lung,,203,,203,
2012Q1,S08000022,,S08000031,Upper GI,,1,,2,
2012Q1,S08000022,,S08000031,Urological,,113,,109,
2012Q1,S08000022,,S08000031,All Cancer Types,d,316,,306,
2012Q1,S08000024,,S08000016,Breast,,252,,240,
2012Q1,S08000024,,S08000016,All Cancer Types,d,252,,240,
2012Q1,S08000024,,S08000019,Breast,,1,,2,
2012Q1,S08000024,,S08000019,All Cancer Types,d,1,,2,
2012Q1,S08000024,,S08000024,Breast,,72,,69,
2012Q1,S08000024,,S08000024,Cervical,,113,,109,
2012Q1,S08000024,,S08000024,Colorectal,,412,,393,
2012Q1,S08000024,,S08000024,Head & Neck,,70,,45,
2012Q1,S08000024,,S08000024,Lung,,5,,394,
2012Q1,S08000024,,S08000024,Lymphoma,,48,,45,
2012Q1,S08000024,,S08000024,Melanoma,,145,,132,
2012Q1,S08000024,,S08000024,Ovarian,,39,,24,
2012Q1,S08000024,,S08000024,Upper GI,,219,,217,
2012Q1,S08000024,,S08000024,Urological,,407,,381,
2012Q1,S08000024,,S08000024,All Cancer Types,d,302,,292,
2012Q1,S08000024,,S08000029,Breast,,203,,203,
2012Q1,S08000024,,S08000029,All Cancer Types,d,203,,203,
2012Q1,S08000025,,S08000020,Breast,,1,,2,
2012Q1,S08000025,,S08000020,Colorectal,,113,,2,
2012Q1,S08000025,,S08000020,Upper GI,,1,,1,
2012Q1,S08000025,,S08000020,All Cancer Types,d,252,,109,
2012Q1,S08000025,,S08000025,Colorectal,,113,,109,
2012Q1,S08000025,,S08000025,Urological,,1,,2,
2012Q1,S08000025,,S08000025,All Cancer Types,d,203,,203,
2012Q1,S08000026,,S08000020,Colorectal,,113,,2,
2012Q1,S08000026,,S08000020,Lung,,113,,109,
2012Q1,S08000026,,S08000020,Lymphoma,,1,,2,
2012Q1,S08000026,,S08000020,Urological,,1,,2,
2012Q1,S08000026,,S08000020,All Cancer Types,d,316,,279,
2012Q1,S08000026,,S08000026,Breast,,1,,2,
2012Q1,S08000026,,S08000026,Colorectal,,252,,240,
2012Q1,S08000026,,S08000026,Lung,,203,,203,
2012Q1,S08000026,,S08000026,Melanoma,,1,,2,
2012Q1,S08000026,,S08000026,Upper GI,,1,,2,
2012Q1,S08000026,,S08000026,All Cancer Types,d,2,,3,
2012Q1,S08000028,,S08000022,Colorectal,,1,,2,
2012Q1,S08000028,,S08000022,All Cancer Types,d,1,,2,
2012Q1,S08000028,,S08000028,Colorectal,,113,,109,
2012Q1,S08000028,,S08000028,Lung,,284,,279,
2012Q1,S08000028,,S08000028,Upper GI,,113,,109,
2012Q1,S08000028,,S08000028,Urological,,1,,2,
2012Q1,S08000028,,S08000028,All Cancer Types,d,2,,3,
2012Q1,S08000028,,SB0801,Lung,,1,,2,
2012Q1,S08000028,,SB0801,Upper GI,,1,,2,
2012Q1,S08000028,,SB0801,All Cancer Types,d,113,,109,
2012Q1,S08000029,,S08000024,Breast,,1,,2,
2012Q1,S08000029,,S08000024,Cervical,,113,,2,
2012Q1,S08000029,,S08000024,Colorectal,,203,,109,
2012Q1,S08000029,,S08000024,Head & Neck,,203,,203,
2012Q1,S08000029,,S08000024,Lung,,48,,14,
2012Q1,S08000029,,S08000024,Lymphoma,,1,,2,
2012Q1,S08000029,,S08000024,Ovarian,,1,,2,
2012Q1,S08000029,,S08000024,Urological,,203,,109,
2012Q1,S08000029,,S08000024,All Cancer Types,d,190,,132,
2012Q1,S08000029,,S08000029,Breast,,145,,143,
2012Q1,S08000029,,S08000029,Cervical,,1,,2,
2012Q1,S08000029,,S08000029,Colorectal,,219,,180,
2012Q1,S08000029,,S08000029,Head & Neck,,113,,109,
2012Q1,S08000029,,S08000029,Lung,,257,,243,
2012Q1,S08000029,,S08000029,Lymphoma,,316,,279,
2012Q1,S08000029,,S08000029,Melanoma,,284,,279,
2012Q1,S08000029,,S08000029,Ovarian,,252,,109,
2012Q1,S08000029,,S08000029,Upper GI,,81,,78,
2012Q1,S08000029,,S08000029,Urological,,198,,180,
2012Q1,S08000029,,S08000029,All Cancer Types,d,71,,57,
2012Q1,S08000029,,S08000030,Lung,,203,,203,
2012Q1,S08000029,,S08000030,All Cancer Types,d,203,,203,
2012Q1,S08000030,,S08000020,Lung,,1,,2,
2012Q1,S08000030,,S08000020,All Cancer Types,d,1,,2,
2012Q1,S08000030,,S08000024,Lung,,252,,203,
2012Q1,S08000030,,S08000024,All Cancer Types,d,252,,203,
2012Q1,S08000030,,S08000030,Breast,,334,,322,
2012Q1,S08000030,,S08000030,Cervical,,113,,109,
2012Q1,S08000030,,S08000030,Colorectal,,261,,233,
2012Q1,S08000030,,S08000030,Head & Neck,,368,,331,
2012Q1,S08000030,,S08000030,Lung,,233,,226,
2012Q1,S08000030,,S08000030,Lymphoma,,284,,279,
2012Q1,S08000030,,S08000030,Melanoma,,2,,3,
2012Q1,S08000030,,S08000030,Ovarian,,252,,240,
2012Q1,S08000030,,S08000030,Upper GI,,39,,34,
2012Q1,S08000030,,S08000030,Urological,,219,,204,
2012Q1,S08000030,,S08000030,All Cancer Types,d,133,,120,
2012Q1,S08000031,,S08000022,Colorectal,,113,,2,
2012Q1,S08000031,,S08000022,All Cancer Types,d,113,,2,
2012Q1,S08000031,,S08000024,Urological,,1,,2,
2012Q1,S08000031,,S08000024,All Cancer Types,d,1,,2,
2012Q1,S08000031,,S08000031,Breast,,118,,114,
2012Q1,S08000031,,S08000031,Cervical,,316,,306,
2012Q1,S08000031,,S08000031,Colorectal,,3,,392,
2012Q1,S08000031,,S08000031,Head & Neck,,223,,217,
2012Q1,S08000031,,S08000031,Lung,,8,,387,
2012Q1,S08000031,,S08000031,Lymphoma,,91,,88,
2012Q1,S08000031,,S08000031,Melanoma,,166,,161,
2012Q1,S08000031,,S08000031,Ovarian,,316,,306,
2012Q1,S08000031,,S08000031,Upper GI,,413,,391,
2012Q1,S08000031,,S08000031,Urological,,388,,381,
2012Q1,S08000031,,S08000031,All Cancer Types,d,336,,314,
2012Q1,S08000031,,S08000032,Breast,,252,,240,
2012Q1,S08000031,,S08000032,All Cancer Types,d,252,,240,
2012Q1,S08000031,,SB0801,Lung,,396,,331,
2012Q1,S08000031,,SB0801,All Cancer Types,d,396,,331,
2012Q1,S08000032,,S08000031,Breast,,1,,2,
2012Q1,S08000032,,S08000031,Cervical,,284,,279,
2012Q1,S08000032,,S08000031,Colorectal,,316,,240,
2012Q1,S08000032,,S08000031,Head & Neck,,1,,2,
2012Q1,S08000032,,S08000031,Lung,,135,,121,
2012Q1,S08000032,,S08000031,Melanoma,,203,,203,
2012Q1,S08000032,,S08000031,Ovarian,,252,,240,
2012Q1,S08000032,,S08000031,Upper GI,,284,,279,
2012Q1,S08000032,,S08000031,Urological,,113,,109,
2012Q1,S08000032,,S08000031,All Cancer Types,d,281,,264,
2012Q1,S08000032,,S08000032,Breast,,292,,287,
2012Q1,S08000032,,S08000032,Cervical,,203,,109,
2012Q1,S08000032,,S08000032,Colorectal,,265,,250,
2012Q1,S08000032,,S08000032,Head & Neck,,252,,240,
2012Q1,S08000032,,S08000032,Lung,,219,,217,
2012Q1,S08000032,,S08000032,Lymphoma,,252,,240,
2012Q1,S08000032,,S08000032,Melanoma,,39,,34,
2012Q1,S08000032,,S08000032,Ovarian,,113,,109,
2012Q1,S08000032,,S08000032,Upper GI,,145,,132,
2012Q1,S08000032,,S08000032,Urological,,257,,234,
2012Q1,S08000032,,S08000032,All Cancer Types,d,133,,124,
2012Q1,S08000032,,SB0801,Lung,,396,,388,
2012Q1,S08000032,,SB0801,All Cancer Types,d,396,,388,
2012Q1,S92000003,d,S08000015,Breast,,292,,287,
2012Q1,S92000003,d,S08000015,Cervical,,113,,109,
2012Q1,S92000003,d,S08000015,Colorectal,,211,,195,
2012Q1,S92000003,d,S08000015,Head & Neck,,113,,109,
2012Q1,S92000003,d,S08000015,Lung,,228,,222,
2012Q1,S92000003,d,S08000015,Lymphoma,,2,,388,
2012Q1,S92000003,d,S08000015,Melanoma,,113,,109,
2012Q1,S92000003,d,S08000015,Ovarian,,113,,109,
2012Q1,S92000003,d,S08000015,Upper GI,,135,,132,
2012Q1,S92000003,d,S08000015,Urological,,29,,14,
2012Q1,S92000003,d,S08000015,All Cancer Types,d,80,,72,
2012Q1,S92000003,d,S08000016,Breast,,2,,3,
2012Q1,S92000003,d,S08000016,Cervical,,1,,2,
2012Q1,S92000003,d,S08000016,Colorectal,,39,,34,
2012Q1,S92000003,d,S08000016,Head & Neck,,1,,2,
2012Q1,S92000003,d,S08000016,Lung,,39,,34,
2012Q1,S92000003,d,S08000016,Lymphoma,,203,,203,
2012Q1,S92000003,d,S08000016,Melanoma,,203,,203,
2012Q1,S92000003,d,S08000016,Ovarian,,113,,109,
2012Q1,S92000003,d,S08000016,Upper GI,,316,,306,
2012Q1,S92000003,d,S08000016,Urological,,39,,34,
2012Q1,S92000003,d,S08000016,All Cancer Types,d,329,,315,
2012Q1,S92000003,d,S08000017,Breast,,2,,3,
2012Q1,S92000003,d,S08000017,Colorectal,,114,,110,
2012Q1,S92000003,d,S08000017,Head & Neck,,113,,109,
2012Q1,S92000003,d,S08000017,Lung,,29,,24,
2012Q1,S92000003,d,S08000017,Lymphoma,,113,,109,
2012Q1,S92000003,d,S08000017,Melanoma,,203,,203,
2012Q1,S92000003,d,S08000017,Ovarian,,113,,109,
2012Q1,S92000003,d,S08000017,Upper GI,,81,,78,
2012Q1,S92000003,d,S08000017,Urological,,81,,78,
2012Q1,S92000003,d,S08000017,All Cancer Types,d,383,,381,
2012Q1,S92000003,d,S08000019,Breast,,175,,132,
2012Q1,S92000003,d,S08000019,Colorectal,,135,,110,
2012Q1,S92000003,d,S08000019,Head & Neck,,113,,109,
2012Q1,S92000003,d,S08000019,Lung,,156,,153,
2012Q1,S92000003,d,S08000019,Lymphoma,,284,,279,
2012Q1,S92000003,d,S08000019,Melanoma,,284,,279,
2012Q1,S92000003,d,S08000019,Ovarian,,1,,2,
2012Q1,S92000003,d,S08000019,Upper GI,,70,,67,
2012Q1,S92000003,d,S08000019,Urological,,236,,204,
2012Q1,S92000003,d,S08000019,All Cancer Types,d,45,,30,
2012Q1,S92000003,d,S08000020,Breast,,388,,385,
2012Q1,S92000003,d,S08000020,Cervical,,252,,240,
2012Q1,S92000003,d,S08000020,Colorectal,,278,,226,
2012Q1,S92000003,d,S08000020,Head & Neck,,17,,3,
2012Q1,S92000003,d,S08000020,Lung,,281,,264,
2012Q1,S92000003,d,S08000020,Lymphoma,,316,,203,
2012Q1,S92000003,d,S08000020,Melanoma,,396,,388,
2012Q1,S92000003,d,S08000020,Ovarian,,396,,388,
2012Q1,S92000003,d,S08000020,Upper GI,,190,,161,
2012Q1,S92000003,d,S08000020,Urological,,261,,233,
2012Q1,S92000003,d,S08000020,All Cancer Types,d,200,,174,
2012Q1,S92000003,d,S08000022,Breast,,236,,231,
2012Q1,S92000003,d,S08000022,Cervical,,203,,203,
2012Q1,S92000003,d,S08000022,Colorectal,,223,,195,
2012Q1,S92000003,d,S08000022,Head & Neck,,368,,331,
2012Q1,S92000003,d,S08000022,Lung,,175,,161,
2012Q1,S92000003,d,S08000022,Lymphoma,,284,,279,
2012Q1,S92000003,d,S08000022,Melanoma,,368,,369,
2012Q1,S92000003,d,S08000022,Ovarian,,113,,109,
2012Q1,S92000003,d,S08000022,Upper GI,,102,,99,
2012Q1,S92000003,d,S08000022,Urological,,70,,56,
2012Q1,S92000003,d,S08000022,All Cancer Types,d,66,,55,
2012Q1,S92000003,d,S08000024,Breast,,78,,75,
2012Q1,S92000003,d,S08000024,Cervical,,252,,203,
2012Q1,S92000003,d,S08000024,Colorectal,,6,,396,
2012Q1,S92000003,d,S08000024,Head & Neck,,124,,99,
2012Q1,S92000003,d,S08000024,Lung,,35,,20,
2012Q1,S92000003,d,S08000024,Lymphoma,,59,,56,
2012Q1,S92000003,d,S08000024,Melanoma,,175,,161,
2012Q1,S92000003,d,S08000024,Ovarian,,59,,45,
2012Q1,S92000003,d,S08000024,Upper GI,,240,,233,
2012Q1,S92000003,d,S08000024,Urological,,8,,390,
2012Q1,S92000003,d,S08000024,All Cancer Types,d,322,,303,
2012Q1,S92000003,d,S08000025,Colorectal,,113,,109,
2012Q1,S92000003,d,S08000025,Urological,,1,,2,
2012Q1,S92000003,d,S08000025,All Cancer Types,d,203,,203,
2012Q1,S92000003,d,S08000026,Breast,,1,,2,
2012Q1,S92000003,d,S08000026,Colorectal,,252,,240,
2012Q1,S92000003,d,S08000026,Lung,,203,,203,
2012Q1,S92000003,d,S08000026,Melanoma,,1,,2,
2012Q1,S92000003,d,S08000026,Upper GI,,1,,2,
2012Q1,S92000003,d,S08000026,All Cancer Types,d,2,,3,
2012Q1,S92000003,d,S08000028,Colorectal,,113,,109,
2012Q1,S92000003,d,S08000028,Lung,,284,,279,
2012Q1,S92000003,d,S08000028,Upper GI,,113,,109,
2012Q1,S92000003,d,S08000028,Urological,,1,,2,
2012Q1,S92000003,d,S08000028,All Cancer Types,d,2,,3,
2012Q1,S92000003,d,S08000029,Breast,,175,,170,
2012Q1,S92000003,d,S08000029,Cervical,,1,,2,
2012Q1,S92000003,d,S08000029,Colorectal,,219,,180,
2012Q1,S92000003,d,S08000029,Head & Neck,,113,,109,
2012Q1,S92000003,d,S08000029,Lung,,257,,243,
2012Q1,S92000003,d,S08000029,Lymphoma,,316,,279,
2012Q1,S92000003,d,S08000029,Melanoma,,284,,279,
2012Q1,S92000003,d,S08000029,Ovarian,,252,,109,
2012Q1,S92000003,d,S08000029,Upper GI,,81,,78,
2012Q1,S92000003,d,S08000029,Urological,,198,,180,
2012Q1,S92000003,d,S08000029,All Cancer Types,d,74,,60,
2012Q1,S92000003,d,S08000030,Breast,,334,,322,
2012Q1,S92000003,d,S08000030,Cervical,,113,,109,
2012Q1,S92000003,d,S08000030,Colorectal,,261,,233,
2012Q1,S92000003,d,S08000030,Head & Neck,,368,,331,
2012Q1,S92000003,d,S08000030,Lung,,243,,233,
2012Q1,S92000003,d,S08000030,Lymphoma,,284,,279,
2012Q1,S92000003,d,S08000030,Melanoma,,2,,3,
2012Q1,S92000003,d,S08000030,Ovarian,,252,,240,
2012Q1,S92000003,d,S08000030,Upper GI,,39,,34,
2012Q1,S92000003,d,S08000030,Urological,,219,,204,
2012Q1,S92000003,d,S08000030,All Cancer Types,d,137,,124,
2012Q1,S92000003,d,S08000031,Breast,,126,,120,
2012Q1,S92000003,d,S08000031,Cervical,,39,,34,
2012Q1,S92000003,d,S08000031,Colorectal,,13,,398,
2012Q1,S92000003,d,S08000031,Head & Neck,,257,,238,
2012Q1,S92000003,d,S08000031,Lung,,61,,39,
2012Q1,S92000003,d,S08000031,Lymphoma,,91,,88,
2012Q1,S92000003,d,S08000031,Melanoma,,198,,187,
2012Q1,S92000003,d,S08000031,Ovarian,,70,,56,
2012Q1,S92000003,d,S08000031,Upper GI,,24,,11,
2012Q1,S92000003,d,S08000031,Urological,,401,,389,
2012Q1,S92000003,d,S08000031,All Cancer Types,d,366,,352,
2012Q1,S92000003,d,S08000032,Breast,,306,,297,
2012Q1,S92000003,d,S08000032,Cervical,,203,,109,
2012Q1,S92000003,d,S08000032,Colorectal,,265,,250,
2012Q1,S92000003,d,S08000032,Head & Neck,,252,,240,
2012Q1,S92000003,d,S08000032,Lung,,219,,217,
2012Q1,S92000003,d,S08000032,Lymphoma,,252,,240,
2012Q1,S92000003,d,S08000032,Melanoma,,39,,34,
2012Q1,S92000003,d,S08000032,Ovarian,,113,,109,
2012Q1,S92000003,d,S08000032,Upper GI,,145,,132,
2012Q1,S92000003,d,S08000032,Urological,,257,,234,
2012Q1,S92000003,d,S08000032,All Cancer Types,d,138,,128,
2012Q1,S92000003,d,SB0801,Lung,,166,,143,
2012Q1,S92000003,d,SB0801,Upper GI,,1,,2,
2012Q1,S92000003,d,SB0801,All Cancer Types,d,175,,153,
2012Q2,S08000015,,S08000015,Breast,,341,,332,
2012Q2,S08000015,,S08000015,Cervical,,203,,203,
2012Q2,S08000015,,S08000015,Colorectal,,219,,204,
2012Q2,S08000015,,S08000015,Head & Neck,,252,,240,
2012Q2,S08000015,,S08000015,Lung,,257,,241,
2012Q2,S08000015,,S08000015,Lymphoma,,284,,279,
2012Q2,S08000015,,S08000015,Ovarian,,340,,331,
2012Q2,S08000015,,S08000015,Upper GI,,135,,121,
2012Q2,S08000015,,S08000015,Urological,,102,,78,
2012Q2,S08000015,,S08000015,All Cancer Types,d,118,,107,
2012Q2,S08000015,,S08000031,Cervical,,1,,2,
2012Q2,S08000015,,S08000031,Colorectal,,203,,109,
2012Q2,S08000015,,S08000031,Head & Neck,,1,,1,
2012Q2,S08000015,,S08000031,Lung,,396,,388,
2012Q2,S08000015,,S08000031,Upper GI,,368,,306,
2012Q2,S08000015,,S08000031,All Cancer Types,d,135,,88,
2012Q2,S08000015,,SB0801,Lung,,113,,109,
2012Q2,S08000015,,SB0801,All Cancer Types,d,113,,109,
2012Q2,S08000016,,S08000016,Breast,,2,,3,
2012Q2,S08000016,,S08000016,Cervical,,1,,2,
2012Q2,S08000016,,S08000016,Colorectal,,29,,24,
2012Q2,S08000016,,S08000016,Head & Neck,,1,,2,
2012Q2,S08000016,,S08000016,Lung,,368,,369,
2012Q2,S08000016,,S08000016,Lymphoma,,203,,203,
2012Q2,S08000016,,S08000016,Melanoma,,316,,306,
2012Q2,S08000016,,S08000016,Ovarian,,203,,203,
2012Q2,S08000016,,S08000016,Upper GI,,340,,331,
2012Q2,S08000016,,S08000016,Urological,,59,,56,
2012Q2,S08000016,,S08000016,All Cancer Types,d,332,,320,
2012Q2,S08000016,,S08000024,Head & Neck,,113,,2,
2012Q2,S08000016,,S08000024,Ovarian,,1,,2,
2012Q2,S08000016,,S08000024,Upper GI,,113,,109,
2012Q2,S08000016,,S08000024,Urological,,203,,203,
2012Q2,S08000016,,S08000024,All Cancer Types,d,368,,331,
2012Q2,S08000017,,S08000017,Breast,,17,,14,
2012Q2,S08000017,,S08000017,Colorectal,,91,,88,
2012Q2,S08000017,,S08000017,Head & Neck,,1,,2,
2012Q2,S08000017,,S08000017,Lung,,102,,99,
2012Q2,S08000017,,S08000017,Lymphoma,,203,,203,
2012Q2,S08000017,,S08000017,Melanoma,,203,,203,
2012Q2,S08000017,,S08000017,Ovarian,,1,,2,
2012Q2,S08000017,,S08000017,Upper GI,,316,,306,
2012Q2,S08000017,,S08000017,Urological,,2,,388,
2012Q2,S08000017,,S08000017,All Cancer Types,d,347,,335,
2012Q2,S08000017,,S08000024,Cervical,,1,,1,
2012Q2,S08000017,,S08000024,Colorectal,,1,,2,
2012Q2,S08000017,,S08000024,Head & Neck,,113,,109,
2012Q2,S08000017,,S08000024,Lung,,316,,306,
2012Q2,S08000017,,S08000024,Urological,,252,,109,
2012Q2,S08000017,,S08000024,All Cancer Types,d,48,,14,
2012Q2,S08000017,,S08000031,Head & Neck,,1,,2,
2012Q2,S08000017,,S08000031,All Cancer Types,d,1,,2,
2012Q2,S08000017,,SB0801,Lung,,1,,2,
2012Q2,S08000017,,SB0801,All Cancer Types,d,1,,2,
2012Q2,S08000019,,S08000019,Breast,,271,,250,
2012Q2,S08000019,,S08000019,Cervical,,1,,2,
2012Q2,S08000019,,S08000019,Colorectal,,233,,217,
2012Q2,S08000019,,S08000019,Head & Neck,,252,,240,
2012Q2,S08000019,,S08000019,Lung,,114,,110,
2012Q2,S08000019,,S08000019,Lymphoma,,284,,279,
2012Q2,S08000019,,S08000019,Melanoma,,316,,279,
2012Q2,S08000019,,S08000019,Ovarian,,1,,2,
2012Q2,S08000019,,S08000019,Upper GI,,81,,78,
2012Q2,S08000019,,S08000019,Urological,,219,,195,
2012Q2,S08000019,,S08000019,All Cancer Types,d,78,,64,
2012Q2,S08000019,,S08000031,Breast,,1,,2,
2012Q2,S08000019,,S08000031,Colorectal,,203,,109,
2012Q2,S08000019,,S08000031,Head & Neck,,340,,306,
2012Q2,S08000019,,S08000031,Lung,,396,,369,
2012Q2,S08000019,,S08000031,Ovarian,,203,,203,
2012Q2,S08000019,,S08000031,Upper GI,,252,,109,
2012Q2,S08000019,,S08000031,Urological,,203,,109,
2012Q2,S08000019,,S08000031,All Cancer Types,d,204,,153,
