"MonthEnding","HBT","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20090930","S08000015","Endoscopy","All Endoscopy",552,"d",0,"d",0,"d"
"20091031","S08000015","Endoscopy","All Endoscopy",650,"d",0,"d",0,"d"
"20091130","S08000015","Endoscopy","All Endoscopy",575,"d",0,"d",0,"d"
"20091231","S08000015","Endoscopy","All Endoscopy",554,"d",0,"d",0,"d"
"20100131","S08000015","Endoscopy","All Endoscopy",770,"d",23,"d",19,"d"
"20100228","S08000015","Endoscopy","All Endoscopy",607,"d",2,"d",1,"d"
"20100331","S08000015","Endoscopy","All Endoscopy",564,"d",1,"d",0,"d"
"20100430","S08000015","Endoscopy","All Endoscopy",612,"d",0,"d",0,"d"
"20100531","S08000015","Endoscopy","All Endoscopy",554,"d",5,"d",0,"d"
"20100630","S08000015","Endoscopy","All Endoscopy",551,"d",4,"d",0,"d"
"20100731","S08000015","Endoscopy","All Endoscopy",605,"d",3,"d",0,"d"
"20100831","S08000015","Endoscopy","All Endoscopy",641,"d",0,"d",0,"d"
"20100930","S08000015","Endoscopy","All Endoscopy",644,"d",2,"d",0,"d"
"20101031","S08000015","Endoscopy","All Endoscopy",693,"d",0,"d",0,"d"
"20101130","S08000015","Endoscopy","All Endoscopy",761,"d",0,"d",0,"d"
"20101231","S08000015","Endoscopy","All Endoscopy",633,"d",5,"d",0,"d"
"20110131","S08000015","Endoscopy","All Endoscopy",689,"d",1,"d",0,"d"
"20110228","S08000015","Endoscopy","All Endoscopy",748,"d",10,"d",5,"d"
"20110331","S08000015","Endoscopy","All Endoscopy",783,"d",7,"d",2,"d"
"20110430","S08000015","Endoscopy","All Endoscopy",747,"d",50,"d",5,"d"
"20110531","S08000015","Endoscopy","All Endoscopy",779,"d",57,"d",14,"d"
"20110630","S08000015","Endoscopy","All Endoscopy",990,"d",320,"d",186,"d"
"20110731","S08000015","Endoscopy","All Endoscopy",904,"d",129,"d",89,"d"
"20110831","S08000015","Endoscopy","All Endoscopy",753,"d",93,"d",53,"d"
"20110930","S08000015","Endoscopy","All Endoscopy",891,"d",143,"d",40,"d"
"20111031","S08000015","Endoscopy","All Endoscopy",1030,"d",226,"d",104,"d"
"20111130","S08000015","Endoscopy","All Endoscopy",1165,"d",500,"d",241,"d"
"20111231","S08000015","Endoscopy","All Endoscopy",1325,"d",677,"d",510,"d"
"20120131","S08000015","Endoscopy","All Endoscopy",570,"d",347,"d",316,"d"
"20120229","S08000015","Endoscopy","All Endoscopy",546,"d",338,"d",285,"d"
"20120331","S08000015","Endoscopy","All Endoscopy",1698,"d",787,"d",492,"d"
"20120430","S08000015","Endoscopy","All Endoscopy",1570,"d",683,"d",381,"d"
"20120531","S08000015","Endoscopy","All Endoscopy",1572,"d",685,"d",307,"d"
"20120630","S08000015","Endoscopy","All Endoscopy",1674,"d",758,"d",456,"d"
"20120731","S08000015","Endoscopy","All Endoscopy",1562,"d",666,"d",374,"d"
"20120831","S08000015","Endoscopy","All Endoscopy",1215,"d",341,"d",149,"d"
"20120930","S08000015","Endoscopy","All Endoscopy",862,"d",180,"d",74,"d"
"20121031","S08000015","Endoscopy","All Endoscopy",844,"d",37,"d",15,"d"
"20121130","S08000015","Endoscopy","All Endoscopy",813,"d",4,"d",0,"d"
"20121231","S08000015","Endoscopy","All Endoscopy",812,"d",19,"d",0,"d"
"20130131","S08000015","Endoscopy","All Endoscopy",721,"d",35,"d",6,"d"
"20130228","S08000015","Endoscopy","All Endoscopy",784,"d",8,"d",0,"d"
"20130331","S08000015","Endoscopy","All Endoscopy",721,"d",0,"d",0,"d"
"20130430","S08000015","Endoscopy","All Endoscopy",776,"d",5,"d",0,"d"
"20130531","S08000015","Endoscopy","All Endoscopy",719,"d",61,"d",0,"d"
"20130630","S08000015","Endoscopy","All Endoscopy",660,"d",13,"d",0,"d"
"20130731","S08000015","Endoscopy","All Endoscopy",738,"d",13,"d",2,"d"
"20130831","S08000015","Endoscopy","All Endoscopy",765,"d",26,"d",5,"d"
"20130930","S08000015","Endoscopy","All Endoscopy",578,"d",7,"d",0,"d"
"20131031","S08000015","Endoscopy","All Endoscopy",737,"d",22,"d",3,"d"
"20131130","S08000015","Endoscopy","All Endoscopy",809,"d",45,"d",11,"d"
"20131231","S08000015","Endoscopy","All Endoscopy",943,"d",146,"d",7,"d"
"20140131","S08000015","Endoscopy","All Endoscopy",1033,"d",149,"d",27,"d"
"20140228","S08000015","Endoscopy","All Endoscopy",878,"d",242,"d",13,"d"
"20140331","S08000015","Endoscopy","All Endoscopy",1121,"d",382,"d",93,"d"
"20140430","S08000015","Endoscopy","All Endoscopy",1198,"d",409,"d",182,"d"
"20140531","S08000015","Endoscopy","All Endoscopy",1233,"d",486,"d",257,"d"
"20140630","S08000015","Endoscopy","All Endoscopy",1241,"d",454,"d",222,"d"
"20140731","S08000015","Endoscopy","All Endoscopy",1235,"d",524,"d",290,"d"
"20140831","S08000015","Endoscopy","All Endoscopy",1243,"d",486,"d",249,"d"
"20140930","S08000015","Endoscopy","All Endoscopy",1286,"d",487,"d",214,"d"
"20141031","S08000015","Endoscopy","All Endoscopy",1344,"d",521,"d",288,"d"
"20141130","S08000015","Endoscopy","All Endoscopy",1219,"d",486,"d",262,"d"
"20141231","S08000015","Endoscopy","All Endoscopy",1256,"d",555,"d",345,"d"
"20150131","S08000015","Endoscopy","All Endoscopy",1339,"d",563,"d",428,"d"
"20150228","S08000015","Endoscopy","All Endoscopy",1432,"d",622,"d",406,"d"
"20150331","S08000015","Endoscopy","All Endoscopy",1503,"d",552,"d",337,"d"
"20150430","S08000015","Endoscopy","All Endoscopy",1503,"d",661,"d",400,"d"
"20150531","S08000015","Endoscopy","All Endoscopy",1495,"d",703,"d",363,"d"
"20150630","S08000015","Endoscopy","All Endoscopy",1490,"d",742,"d",451,"d"
"20150731","S08000015","Endoscopy","All Endoscopy",1507,"d",719,"d",476,"d"
"20150831","S08000015","Endoscopy","All Endoscopy",1525,"d",684,"d",433,"d"
"20150930","S08000015","Endoscopy","All Endoscopy",1489,"d",705,"d",447,"d"
"20151031","S08000015","Endoscopy","All Endoscopy",1563,"d",704,"d",456,"d"
"20151130","S08000015","Endoscopy","All Endoscopy",1608,"d",675,"d",430,"d"
"20151231","S08000015","Endoscopy","All Endoscopy",1698,"d",887,"d",606,"d"
"20160131","S08000015","Endoscopy","All Endoscopy",1728,"d",970,"d",772,"d"
"20160229","S08000015","Endoscopy","All Endoscopy",1513,"d",795,"d",548,"d"
"20160331","S08000015","Endoscopy","All Endoscopy",1430,"d",690,"d",457,"d"
"20160430","S08000015","Endoscopy","All Endoscopy",1444,"d",557,"d",384,"d"
"20160531","S08000015","Endoscopy","All Endoscopy",1378,"d",497,"d",252,"d"
"20160630","S08000015","Endoscopy","All Endoscopy",1349,"d",447,"d",223,"d"
"20160731","S08000015","Endoscopy","All Endoscopy",1321,"d",461,"d",197,"d"
"20160831","S08000015","Endoscopy","All Endoscopy",1323,"d",452,"d",218,"d"
"20160930","S08000015","Endoscopy","All Endoscopy",1335,"d",513,"d",205,"d"
"20161031","S08000015","Endoscopy","All Endoscopy",1386,"d",487,"d",260,"d"
"20161130","S08000015","Endoscopy","All Endoscopy",1457,"d",573,"d",270,"d"
"20161231","S08000015","Endoscopy","All Endoscopy",1568,"d",726,"d",417,"d"
"20170131","S08000015","Endoscopy","All Endoscopy",1681,"d",723,"d",524,"d"
"20170228","S08000015","Endoscopy","All Endoscopy",1768,"d",734,"d",459,"d"
"20170331","S08000015","Endoscopy","All Endoscopy",1916,"d",888,"d",575,"d"
"20170430","S08000015","Endoscopy","All Endoscopy",1860,"d",1043,"d",731,"d"
"20170531","S08000015","Endoscopy","All Endoscopy",1837,"d",1003,"d",737,"d"
"20170630","S08000015","Endoscopy","All Endoscopy",1824,"d",913,"d",666,"d"
"20170731","S08000015","Endoscopy","All Endoscopy",1679,"d",872,"d",654,"d"
"20170831","S08000015","Endoscopy","All Endoscopy",1593,"d",669,"d",427,"d"
"20170930","S08000015","Endoscopy","All Endoscopy",1699,"d",910,"d",566,"d"
"20171031","S08000015","Endoscopy","All Endoscopy",1757,"d",877,"d",634,"d"
"20171130","S08000015","Endoscopy","All Endoscopy",1700,"d",911,"d",567,"d"
"20171231","S08000015","Endoscopy","All Endoscopy",2013,"d",1206,"d",889,"d"
"20180131","S08000015","Endoscopy","All Endoscopy",2206,"d",1284,"d",1114,"d"
"20180228","S08000015","Endoscopy","All Endoscopy",2321,"d",1362,"d",1050,"d"
"20180331","S08000015","Endoscopy","All Endoscopy",2291,"d",1459,"d",1144,"d"
"20180430","S08000015","Endoscopy","All Endoscopy",2239,"d",1368,"d",1088,"d"
"20180531","S08000015","Endoscopy","All Endoscopy",2187,"d",1340,"d",1022,"d"
"20180630","S08000015","Endoscopy","All Endoscopy",2181,"d",1342,"d",1077,"d"
"20180731","S08000015","Endoscopy","All Endoscopy",2250,"d",1324,"d",1055,"d"
"20180831","S08000015","Endoscopy","All Endoscopy",2281,"d",1451,"d",1166,"d"
"20180930","S08000015","Endoscopy","All Endoscopy",2272,"d",1454,"d",1189,"d"
"20181031","S08000015","Endoscopy","All Endoscopy",2267,"d",1336,"d",1098,"d"
"20181130","S08000015","Endoscopy","All Endoscopy",2265,"d",1287,"d",981,"d"
"20181231","S08000015","Endoscopy","All Endoscopy",2427,"d",1503,"d",1147,"d"
"20190131","S08000015","Endoscopy","All Endoscopy",2490,"d",1524,"d",1372,"d"
"20190228","S08000015","Endoscopy","All Endoscopy",2412,"d",1445,"d",1109,"d"
"20190331","S08000015","Endoscopy","All Endoscopy",2385,"d",1376,"d",1087,"d"
"20190430","S08000015","Endoscopy","All Endoscopy",2344,"d",1514,"d",1110,"d"
"20190531","S08000015","Endoscopy","All Endoscopy",2187,"d",1334,"d",1073,"d"
"20190630","S08000015","Endoscopy","All Endoscopy",2264,"d",1339,"d",1016,"d"
"20190731","S08000015","Endoscopy","All Endoscopy",2020,"d",1287,"d",931,"d"
"20190831","S08000015","Endoscopy","All Endoscopy",2164,"d",1310,"d",1014,"d"
"20190930","S08000015","Endoscopy","All Endoscopy",1956,"d",1301,"d",963,"d"
"20191031","S08000015","Endoscopy","All Endoscopy",1819,"d",921,"d",698,"d"
"20191130","S08000015","Endoscopy","All Endoscopy",1860,"d",853,"d",528,"d"
"20191231","S08000015","Endoscopy","All Endoscopy",1960,"d",1039,"d",660,"d"
"20200131","S08000015","Endoscopy","All Endoscopy",1954,"d",973,"d",786,"d"
"20200229","S08000015","Endoscopy","All Endoscopy",2030,"d",1065,"d",735,"d"
"20200331","S08000015","Endoscopy","All Endoscopy",2088,"d",1364,"d",999,"d"
"20200430","S08000015","Endoscopy","All Endoscopy",2250,"d",2046,"d",1831,"d"
"20200531","S08000015","Endoscopy","All Endoscopy",2495,"d",2241,"d",2118,"d"
"20200630","S08000015","Endoscopy","All Endoscopy",2865,"d",2473,"d",2317,"d"
"20200731","S08000015","Endoscopy","All Endoscopy",3198,"d",2683,"d",2491,"d"
"20200831","S08000015","Endoscopy","All Endoscopy",3518,"d",2884,"d",2710,"d"
"20200930","S08000015","Endoscopy","All Endoscopy",3574,"d",3071,"d",2819,"d"
"20201031","S08000015","Endoscopy","All Endoscopy",3603,"d",3121,"d",2973,"d"
"20201130","S08000015","Endoscopy","All Endoscopy",3665,"d",3060,"d",2861,"d"
"20201231","S08000015","Endoscopy","All Endoscopy",3836,"d",3232,"d",3014,"d"
"20210131","S08000015","Endoscopy","All Endoscopy",3839,"d",3223,"d",3083,"d"
"20210228","S08000015","Endoscopy","All Endoscopy",3787,"d",3202,"d",2972,"d"
"20210331","S08000015","Endoscopy","All Endoscopy",3650,"d",3073,"d",2905,"d"
"20210430","S08000015","Endoscopy","All Endoscopy",3629,"d",3034,"d",2846,"d"
"20210531","S08000015","Endoscopy","All Endoscopy",3434,"d",2838,"d",2653,"d"
"20210630","S08000015","Endoscopy","All Endoscopy",3311,"d",2661,"d",2557,"d"
"20210731","S08000015","Endoscopy","All Endoscopy",3178,"d",2634,"d",2485,"d"
"20210831","S08000015","Endoscopy","All Endoscopy",3120,"d",2506,"d",2391,"d"
"20210930","S08000015","Endoscopy","All Endoscopy",3345,"d",2635,"d",2396,"d"
"20070930","S08000015","Imaging","All Imaging",759,"d",717,"d",717,"d"
"20071231","S08000015","Imaging","All Imaging",882,"d",882,"d",534,"d"
"20080131","S08000015","Imaging","All Imaging",912,"d",531,"d",423,"d"
"20080229","S08000015","Imaging","All Imaging",586,"d",98,"d",41,"d"
"20080331","S08000015","Imaging","All Imaging",589,"d",93,"d",0,"d"
"20080430","S08000015","Imaging","All Imaging",415,"d",132,"d",22,"d"
"20080531","S08000015","Imaging","All Imaging",877,"d",157,"d",10,"d"
"20080630","S08000015","Imaging","All Imaging",783,"d",233,"d",18,"d"
"20080731","S08000015","Imaging","All Imaging",1375,"d",332,"d",61,"d"
"20080831","S08000015","Imaging","All Imaging",1891,"d",294,"d",85,"d"
"20080930","S08000015","Imaging","All Imaging",1651,"d",352,"d",88,"d"
"20081031","S08000015","Imaging","All Imaging",1980,"d",237,"d",73,"d"
"20081130","S08000015","Imaging","All Imaging",745,"d",10,"d",0,"d"
"20081231","S08000015","Imaging","All Imaging",806,"d",16,"d",0,"d"
"20090131","S08000015","Imaging","All Imaging",639,"d",51,"d",17,"d"
"20090228","S08000015","Imaging","All Imaging",1770,"d",96,"d",10,"d"
"20090331","S08000015","Imaging","All Imaging",1923,"d",7,"d",0,"d"
"20090430","S08000015","Imaging","All Imaging",1865,"d",109,"d",0,"d"
"20090531","S08000015","Imaging","All Imaging",1335,"d",16,"d",0,"d"
"20090630","S08000015","Imaging","All Imaging",1479,"d",6,"d",0,"d"
"20090731","S08000015","Imaging","All Imaging",1560,"d",14,"d",0,"d"
"20090831","S08000015","Imaging","All Imaging",1487,"d",1,"d",0,"d"
"20090930","S08000015","Imaging","All Imaging",1237,"d",4,"d",0,"d"
"20091031","S08000015","Imaging","All Imaging",1333,"d",3,"d",0,"d"
"20091130","S08000015","Imaging","All Imaging",1466,"d",0,"d",0,"d"
"20091231","S08000015","Imaging","All Imaging",1456,"d",28,"d",0,"d"
"20100131","S08000015","Imaging","All Imaging",1535,"d",28,"d",2,"d"
"20100228","S08000015","Imaging","All Imaging",1618,"d",2,"d",0,"d"
"20100331","S08000015","Imaging","All Imaging",1664,"d",2,"d",0,"d"
"20100430","S08000015","Imaging","All Imaging",1558,"d",2,"d",0,"d"
"20100531","S08000015","Imaging","All Imaging",1442,"d",4,"d",0,"d"
"20100630","S08000015","Imaging","All Imaging",761,"d",0,"d",0,"d"
"20100731","S08000015","Imaging","All Imaging",1411,"d",0,"d",0,"d"
"20100831","S08000015","Imaging","All Imaging",1349,"d",9,"d",1,"d"
"20100930","S08000015","Imaging","All Imaging",1501,"d",7,"d",0,"d"
"20101031","S08000015","Imaging","All Imaging",1705,"d",7,"d",0,"d"
"20101130","S08000015","Imaging","All Imaging",1700,"d",0,"d",0,"d"
"20101231","S08000015","Imaging","All Imaging",1653,"d",11,"d",0,"d"
"20110131","S08000015","Imaging","All Imaging",1855,"d",5,"d",0,"d"
"20110228","S08000015","Imaging","All Imaging",1819,"d",27,"d",0,"d"
"20110331","S08000015","Imaging","All Imaging",1911,"d",51,"d",2,"d"
"20110430","S08000015","Imaging","All Imaging",1769,"d",103,"d",6,"d"
"20110531","S08000015","Imaging","All Imaging",1873,"d",73,"d",1,"d"
"20110630","S08000015","Imaging","All Imaging",1549,"d",4,"d",0,"d"
"20110731","S08000015","Imaging","All Imaging",1614,"d",2,"d",0,"d"
"20110831","S08000015","Imaging","All Imaging",1581,"d",2,"d",0,"d"
"20110930","S08000015","Imaging","All Imaging",1527,"d",0,"d",0,"d"
"20111031","S08000015","Imaging","All Imaging",1604,"d",3,"d",0,"d"
"20111130","S08000015","Imaging","All Imaging",1617,"d",10,"d",0,"d"
"20111231","S08000015","Imaging","All Imaging",1954,"d",48,"d",0,"d"
"20120131","S08000015","Imaging","All Imaging",1961,"d",35,"d",9,"d"
"20120229","S08000015","Imaging","All Imaging",1849,"d",9,"d",1,"d"
"20120331","S08000015","Imaging","All Imaging",2268,"d",46,"d",0,"d"
"20120430","S08000015","Imaging","All Imaging",2005,"d",55,"d",0,"d"
"20120531","S08000015","Imaging","All Imaging",2099,"d",34,"d",1,"d"
"20120630","S08000015","Imaging","All Imaging",2607,"d",40,"d",0,"d"
"20120731","S08000015","Imaging","All Imaging",2672,"d",100,"d",1,"d"
"20120831","S08000015","Imaging","All Imaging",2736,"d",113,"d",0,"d"
"20120930","S08000015","Imaging","All Imaging",2652,"d",118,"d",0,"d"
"20121031","S08000015","Imaging","All Imaging",2099,"d",28,"d",3,"d"
"20121130","S08000015","Imaging","All Imaging",2212,"d",16,"d",1,"d"
"20121231","S08000015","Imaging","All Imaging",2199,"d",89,"d",1,"d"
"20130131","S08000015","Imaging","All Imaging",2213,"d",76,"d",11,"d"
"20130228","S08000015","Imaging","All Imaging",2479,"d",34,"d",0,"d"
"20130331","S08000015","Imaging","All Imaging",2784,"d",185,"d",2,"d"
"20130430","S08000015","Imaging","All Imaging",2774,"d",244,"d",45,"d"
"20130531","S08000015","Imaging","All Imaging",2729,"d",218,"d",21,"d"
"20130630","S08000015","Imaging","All Imaging",3003,"d",246,"d",66,"d"
"20130731","S08000015","Imaging","All Imaging",2818,"d",306,"d",97,"d"
"20130831","S08000015","Imaging","All Imaging",2912,"d",363,"d",95,"d"
"20130930","S08000015","Imaging","All Imaging",3633,"d",522,"d",124,"d"
"20131031","S08000015","Imaging","All Imaging",3640,"d",508,"d",140,"d"
"20131130","S08000015","Imaging","All Imaging",3560,"d",504,"d",137,"d"
"20131231","S08000015","Imaging","All Imaging",3574,"d",765,"d",229,"d"
"20140131","S08000015","Imaging","All Imaging",3767,"d",450,"d",204,"d"
"20140228","S08000015","Imaging","All Imaging",3924,"d",589,"d",63,"d"
"20140331","S08000015","Imaging","All Imaging",4094,"d",724,"d",125,"d"
"20140430","S08000015","Imaging","All Imaging",4142,"d",1412,"d",420,"d"
"20140531","S08000015","Imaging","All Imaging",4349,"d",1178,"d",319,"d"
"20140630","S08000015","Imaging","All Imaging",4772,"d",1361,"d",479,"d"
"20140731","S08000015","Imaging","All Imaging",4494,"d",1475,"d",503,"d"
"20140831","S08000015","Imaging","All Imaging",5042,"d",1808,"d",768,"d"
"20140930","S08000015","Imaging","All Imaging",5542,"d",2290,"d",968,"d"
"20141031","S08000015","Imaging","All Imaging",5214,"d",1922,"d",970,"d"
"20141130","S08000015","Imaging","All Imaging",4689,"d",1468,"d",558,"d"
"20141231","S08000015","Imaging","All Imaging",4470,"d",1515,"d",538,"d"
"20150131","S08000015","Imaging","All Imaging",4882,"d",1336,"d",876,"d"
"20150228","S08000015","Imaging","All Imaging",5113,"d",1469,"d",620,"d"
"20150331","S08000015","Imaging","All Imaging",5303,"d",1676,"d",786,"d"
"20150430","S08000015","Imaging","All Imaging",5288,"d",2285,"d",1254,"d"
"20150531","S08000015","Imaging","All Imaging",5004,"d",1878,"d",1098,"d"
"20150630","S08000015","Imaging","All Imaging",5218,"d",1997,"d",1178,"d"
"20150731","S08000015","Imaging","All Imaging",4981,"d",2087,"d",1142,"d"
"20150831","S08000015","Imaging","All Imaging",4549,"d",1578,"d",993,"d"
"20150930","S08000015","Imaging","All Imaging",3906,"d",1040,"d",539,"d"
"20151031","S08000015","Imaging","All Imaging",4310,"d",874,"d",349,"d"
"20151130","S08000015","Imaging","All Imaging",3669,"d",388,"d",83,"d"
"20151231","S08000015","Imaging","All Imaging",3901,"d",688,"d",122,"d"
"20160131","S08000015","Imaging","All Imaging",3817,"d",720,"d",268,"d"
"20160229","S08000015","Imaging","All Imaging",4262,"d",939,"d",223,"d"
"20160331","S08000015","Imaging","All Imaging",4304,"d",1162,"d",300,"d"
"20160430","S08000015","Imaging","All Imaging",3860,"d",869,"d",303,"d"
"20160531","S08000015","Imaging","All Imaging",4204,"d",961,"d",227,"d"
"20160630","S08000015","Imaging","All Imaging",4598,"d",1232,"d",476,"d"
"20160731","S08000015","Imaging","All Imaging",4993,"d",1986,"d",964,"d"
"20160831","S08000015","Imaging","All Imaging",4987,"d",1629,"d",913,"d"
"20160930","S08000015","Imaging","All Imaging",5352,"d",2324,"d",1282,"d"
"20161031","S08000015","Imaging","All Imaging",5633,"d",2519,"d",1678,"d"
"20161130","S08000015","Imaging","All Imaging",5713,"d",2364,"d",1555,"d"
"20161231","S08000015","Imaging","All Imaging",6028,"d",3131,"d",2211,"d"
"20170131","S08000015","Imaging","All Imaging",6339,"d",3309,"d",2860,"d"
"20170228","S08000015","Imaging","All Imaging",6641,"d",3338,"d",2505,"d"
"20170331","S08000015","Imaging","All Imaging",6836,"d",3549,"d",2573,"d"
"20170430","S08000015","Imaging","All Imaging",6806,"d",4020,"d",2896,"d"
"20170531","S08000015","Imaging","All Imaging",6695,"d",3572,"d",2697,"d"
"20170630","S08000015","Imaging","All Imaging",6858,"d",3586,"d",2601,"d"
"20170731","S08000015","Imaging","All Imaging",6217,"d",3207,"d",2120,"d"
"20170831","S08000015","Imaging","All Imaging",6010,"d",2507,"d",1601,"d"
"20170930","S08000015","Imaging","All Imaging",5923,"d",2733,"d",1575,"d"
"20171031","S08000015","Imaging","All Imaging",6218,"d",2704,"d",1783,"d"
"20171130","S08000015","Imaging","All Imaging",6274,"d",2643,"d",1592,"d"
"20171231","S08000015","Imaging","All Imaging",5871,"d",2974,"d",1888,"d"
"20180131","S08000015","Imaging","All Imaging",6259,"d",2668,"d",2203,"d"
"20180228","S08000015","Imaging","All Imaging",6189,"d",2657,"d",1633,"d"
"20180331","S08000015","Imaging","All Imaging",6828,"d",3335,"d",2026,"d"
"20180430","S08000015","Imaging","All Imaging",6948,"d",3527,"d",2417,"d"
"20180531","S08000015","Imaging","All Imaging",7057,"d",3564,"d",2270,"d"
"20180630","S08000015","Imaging","All Imaging",6863,"d",3405,"d",2367,"d"
"20180731","S08000015","Imaging","All Imaging",6029,"d",3047,"d",2186,"d"
"20180831","S08000015","Imaging","All Imaging",6021,"d",2855,"d",2063,"d"
"20180930","S08000015","Imaging","All Imaging",6056,"d",3156,"d",2095,"d"
"20181031","S08000015","Imaging","All Imaging",5567,"d",2711,"d",1981,"d"
"20181130","S08000015","Imaging","All Imaging",5809,"d",2667,"d",1824,"d"
"20181231","S08000015","Imaging","All Imaging",5483,"d",2716,"d",1614,"d"
"20190131","S08000015","Imaging","All Imaging",5635,"d",2228,"d",1871,"d"
"20190228","S08000015","Imaging","All Imaging",5450,"d",2177,"d",1312,"d"
"20190331","S08000015","Imaging","All Imaging",5389,"d",2158,"d",1316,"d"
"20190430","S08000015","Imaging","All Imaging",5363,"d",2513,"d",1425,"d"
"20190531","S08000015","Imaging","All Imaging",5600,"d",2569,"d",1656,"d"
"20190630","S08000015","Imaging","All Imaging",5500,"d",2326,"d",1493,"d"
"20190731","S08000015","Imaging","All Imaging",5275,"d",2473,"d",1617,"d"
"20190831","S08000015","Imaging","All Imaging",5276,"d",2361,"d",1557,"d"
"20190930","S08000015","Imaging","All Imaging",5214,"d",2330,"d",1431,"d"
"20191031","S08000015","Imaging","All Imaging",4891,"d",1959,"d",1321,"d"
"20191130","S08000015","Imaging","All Imaging",4926,"d",1601,"d",1003,"d"
"20191231","S08000015","Imaging","All Imaging",5242,"d",2431,"d",1401,"d"
"20200131","S08000015","Imaging","All Imaging",5587,"d",2236,"d",1876,"d"
"20200229","S08000015","Imaging","All Imaging",5618,"d",2513,"d",1517,"d"
"20200331","S08000015","Imaging","All Imaging",5108,"d",2897,"d",1844,"d"
"20200430","S08000015","Imaging","All Imaging",5010,"d",4168,"d",3575,"d"
"20200531","S08000015","Imaging","All Imaging",5284,"d",4129,"d",3893,"d"
"20200630","S08000015","Imaging","All Imaging",6486,"d",4706,"d",4272,"d"
"20200731","S08000015","Imaging","All Imaging",6561,"d",4459,"d",3881,"d"
"20200831","S08000015","Imaging","All Imaging",7385,"d",4638,"d",3811,"d"
"20200930","S08000015","Imaging","All Imaging",6866,"d",4463,"d",3463,"d"
"20201031","S08000015","Imaging","All Imaging",6925,"d",4637,"d",3972,"d"
"20201130","S08000015","Imaging","All Imaging",5359,"d",3162,"d",2633,"d"
"20201231","S08000015","Imaging","All Imaging",5441,"d",3153,"d",2590,"d"
"20210131","S08000015","Imaging","All Imaging",4858,"d",2621,"d",2356,"d"
"20210228","S08000015","Imaging","All Imaging",4487,"d",1975,"d",1575,"d"
"20210331","S08000015","Imaging","All Imaging",3357,"d",1101,"d",760,"d"
"20210430","S08000015","Imaging","All Imaging",3999,"d",1469,"d",1001,"d"
"20210531","S08000015","Imaging","All Imaging",3833,"d",1254,"d",751,"d"
"20210630","S08000015","Imaging","All Imaging",4492,"d",1508,"d",829,"d"
"20210731","S08000015","Imaging","All Imaging",5233,"d",2642,"d",1758,"d"
"20210831","S08000015","Imaging","All Imaging",4907,"d",2224,"d",1506,"d"
"20210930","S08000015","Imaging","All Imaging",6938,"d",3127,"d",2022,"d"
"20070930","S08000016","Endoscopy","All Endoscopy",0,"d",0,"d",0,"d"
"20071231","S08000016","Endoscopy","All Endoscopy",66,"d",23,"d",13,"d"
"20080131","S08000016","Endoscopy","All Endoscopy",152,"d",45,"d",26,"d"
"20080229","S08000016","Endoscopy","All Endoscopy",115,"d",52,"d",20,"d"
"20080331","S08000016","Endoscopy","All Endoscopy",131,"d",28,"d",8,"d"
"20080430","S08000016","Endoscopy","All Endoscopy",100,"d",9,"d",4,"d"
